게임명,개발자,날짜,랭킹,배급사,음성지원,인터페이스,인터페이스 언어개수,자막,출시일,태그,태그 개수
https://store.steampowered.com/app/2350790/?snr=1_5_9__205,Digital Sun,2025년 6월 10일,1,11 bit studios,지원 안함,"영어, 중국어 간체",2,"영어, 중국어 간체",2025년 6월 10일,"3D, Action, Action RPG, Action Roguelike, Action-Adventure, Adventure, Capitalism, Dungeon Crawler, Exploration, Fantasy, Hack and Slash, Inventory Management, Management, Procedural Generation, RPG, Replay Value, Roguelike, Roguelite, Shop Keeper, Singleplayer",20
https://store.steampowered.com/app/2814860/?snr=1_5_9__205 Demo,NEXON,2025년 6월 10일,2,NEXON,"영어, 한국어","영어, 중국어 간체, 중국어 번체, 한국어",4,"영어, 중국어 간체, 중국어 번체, 한국어",2025년 6월 8일,"3D, Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Character Customization, Combat, Fantasy, Hack and Slash, Medieval, Multiplayer, Online Co-Op, Open World, RPG, Sexual Content, Singleplayer, Souls-like, Story Rich, Third Person",20
https://store.steampowered.com/app/3105890/?snr=1_5_9__205,GFAGAMES,2025년 6월 10일,3,GFAGAMES,"러시아어, 스페인어-중남미, 영어, 중국어 간체","독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",7,"독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",2025년 6월 9일,"3D, Action, Action-Adventure, Atmospheric, Cinematic, Crafting, Dark, Dystopian, FPS, First-Person, Looter Shooter, MMORPG, Military, Open World, Post-apocalyptic, RPG, Realistic, Sci-fi, Story Rich, Survival",20
https://store.steampowered.com/app/2373990/?snr=1_5_9__205,Netmarble Neo,2025년 6월 10일,5,Netmarble,"일본어, 한국어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포트투갈어-포르투갈, 프랑스어, 한국어",13,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포르투갈어-포르투갈, 프랑스어, 한국어",2025년 6월 9일,"3D, Action, Action RPG, Anime, Cartoony, Combat, Controller, Fantasy, Free to play, Hack and Slash, MMORPG, Modern, Multiplayer, PvE, PvP, RPG, Sexual Content, Singleplayer, Souls-like, Third Person",20
https://store.steampowered.com/app/3686930/?snr=1_5_9__205 Demo,橙光游戏,2025년 6월 10일,4,Paleo,지원 안함,중국어 간체,1,중국어 간체,2025년 6월 9일,"2D, 2D Platformer, Adventure, Choices Matter, Detective, Drama, Fantasy, Hand-drawn, Horror, Indie, Interactive Fiction, Lore-Rich, Multiple Endings, Point & Click, Psychological Horror, RPG, Singleplayer, Story Rich, Visual Novel, Word Game",20
https://store.steampowered.com/app/3376540/?snr=1_5_9__205,蜂有引力（上海）科技有限公司,2025년 6월 10일,6,蜂有引力（上海）科技有限公司,지원 안함,"독일어, 스페인어-스페인, 영어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 포르투갈어-브라질, 프랑스어, 한국어",10,"독일어, 스페인어-스페인, 영어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 포르투갈어-브라질, 프랑스어, 한국어",2025년 5월 29일,"3D, Adventure, Arena Shooter, Base Building, Building, Combat, Crafting, Immersive Sim, MOBA, Military, Open World, Post-apocalyptic, PvP, RPG, Realistic, Sandbox, Shooter, Simulation, Survival, Third Person",20
https://store.steampowered.com/app/3167020/?snr=1_5_9__205 Demo (逃离鸭科夫),Team Soda,2025년 6월 10일,7,bilibili,지원 안함,"독일어, 스페인어-스페인, 영어, 일본어, 중국어 간체, 중국어 번체, 한국어",7,"독일어, 스페인어-스페인, 영어, 일본어, 중국어 간체, 중국어 번체, 한국어",2025년 1월 24일,"Action, Adventure, Base Building, Cartoon, Crafting, Cute, Exploration, Extraction Shooter, Funny, Gun Customization, Indie, Looter Shooter, RPG, Shooter, Simulation, Singleplayer, Strategy, Survival, Top-Down, Top-Down Shooter",20
https://store.steampowered.com/app/3454650/?snr=1_5_9__205,"Clockwork Laboratories, Inc.",2025년 6월 10일,8,"Clockwork Laboratories, Inc.",지원 안함,영어,1,지원 안함,2025년 5월 29일,"3D, Base Building, Character Customization, Crafting, Early Access, Economy, Exploration, MMORPG, Multiplayer, Open World, Open World Survival Craft, Point & Click, Procedural Generation, PvE, RPG, Relaxing, Sandbox, Strategy, Survival, Third Person",20
https://store.steampowered.com/app/3104410/?snr=1_5_9__205 Demo (矩阵：零日危机),Pew Pew Games,2025년 6월 10일,9,Level Infinite,"영어, 중국어 간체","영어, 중국어 간체",2,"영어, 중국어 간체",2025년 6월 9일,"Action, Action Roguelike, Adventure, Co-op, Hack and Slash, Hero Shooter, Loot, Looter Shooter, Multiplayer, Online Co-Op, PvE, RPG, Roguelike, Roguelite, Sci-fi, Shooter, Stylized, Team-Based, Third Person, Third-Person Shooter",20
https://store.steampowered.com/app/1620730/?snr=1_5_9__205,Nacon,2025년 6월 10일,10,Nacon,"영어, 프랑스어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 일본어, 중국어 간체, 튀르키예어, 포르투갈어-브라질, 폴란드어, 프랑스어, 한국어",12,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 일본어, 중국어 간체, 튀르키예어, 포르투갈어-브라질, 폴란드어, 프랑스어, 한국어",2025년 6월 2일,"Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Beautiful, Character Customization, Combat, Dark Fantasy, Exploration, Open World, RPG, Sci-fi, Singleplayer, Souls-like, Story Rich, Supernatural, Swordplay, Third Person, Violent",20
https://store.steampowered.com/app/2814860/?snr=1_5_9__205 Demo,NEXON,2025년 6월 11일,1,NEXON,"영어, 한국어","영어, 중국어 간체, 중국어 번체, 한국어",4,"영어, 중국어 간체, 중국어 번체, 한국어",2025년 6월 8일,"3D, Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Character Customization, Combat, Fantasy, Hack and Slash, Medieval, Multiplayer, Online Co-Op, Open World, RPG, Sexual Content, Singleplayer, Souls-like, Story Rich, Third Person",20
https://store.steampowered.com/app/2350790/?snr=1_5_9__205,Digital Sun,2025년 6월 11일,2,11 bit studios,지원 안함,"영어, 중국어 간체",2,"영어, 중국어 간체",2025년 6월 10일,"3D, Action, Action RPG, Action Roguelike, Action-Adventure, Adventure, Capitalism, Dungeon Crawler, Exploration, Fantasy, Hack and Slash, Inventory Management, Management, Procedural Generation, RPG, Replay Value, Roguelike, Roguelite, Shop Keeper, Singleplayer",20
https://store.steampowered.com/app/3105890/?snr=1_5_9__205,GFAGAMES,2025년 6월 11일,3,GFAGAMES,"러시아어, 스페인어-중남미, 영어, 중국어 간체","독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",7,"독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",2025년 6월 9일,"3D, Action, Action-Adventure, Atmospheric, Cinematic, Crafting, Dark, Dystopian, FPS, First-Person, Looter Shooter, MMORPG, Military, Open World, Post-apocalyptic, RPG, Realistic, Sci-fi, Story Rich, Survival",20
https://store.steampowered.com/app/2373990/?snr=1_5_9__205,Netmarble Neo,2025년 6월 11일,4,Netmarble,"일본어, 한국어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포트투갈어-포르투갈, 프랑스어, 한국어",13,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포르투갈어-포르투갈, 프랑스어, 한국어",2025년 6월 9일,"3D, Action, Action RPG, Anime, Cartoony, Combat, Controller, Fantasy, Free to play, Hack and Slash, MMORPG, Modern, Multiplayer, PvE, PvP, RPG, Sexual Content, Singleplayer, Souls-like, Third Person",20
https://store.steampowered.com/app/3167020/?snr=1_5_9__205 Demo (逃离鸭科夫),Team Soda,2025년 6월 11일,5,bilibili,지원 안함,"독일어, 스페인어-스페인, 영어, 일본어, 중국어 간체, 중국어 번체, 한국어",7,"독일어, 스페인어-스페인, 영어, 일본어, 중국어 간체, 중국어 번체, 한국어",2025년 1월 24일,"Action, Adventure, Base Building, Cartoon, Crafting, Cute, Exploration, Extraction Shooter, Funny, Gun Customization, Indie, Looter Shooter, RPG, Shooter, Simulation, Singleplayer, Strategy, Survival, Top-Down, Top-Down Shooter",20
https://store.steampowered.com/app/1620730/?snr=1_5_9__205,Nacon,2025년 6월 11일,6,Nacon,"영어, 프랑스어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 일본어, 중국어 간체, 튀르키예어, 포르투갈어-브라질, 폴란드어, 프랑스어, 한국어",12,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 일본어, 중국어 간체, 튀르키예어, 포르투갈어-브라질, 폴란드어, 프랑스어, 한국어",2025년 6월 2일,"Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Beautiful, Character Customization, Combat, Dark Fantasy, Exploration, Open World, RPG, Sci-fi, Singleplayer, Souls-like, Story Rich, Supernatural, Swordplay, Third Person, Violent",20
https://store.steampowered.com/app/2686630/?snr=1_5_9__205,Treehouse Games,2025년 6월 11일,7,Treehouse Games,영어,"독일어, 러시아어, 스페인어-스페인, 스페인어-중남미, 영어, 일본어, 중국어 간체, 포르투갈어-브라질, 포트투갈어-포르투갈, 프랑스어, 한국어",11,지원 안함,2024년 12월 4일,"Action, Action-Adventure, Base Building, Building, Combat, Early Access, Exploration, Fantasy, Nature, Online Co-Op, Open World, Open World Survival Craft, PvE, RPG, Sailing, Sandbox, Singleplayer, Survival, Third Person, Underwater",20
https://store.steampowered.com/app/1904480/?snr=1_5_9__205,"Dotemu, Gamirror Games",2025년 6월 11일,8,"Dotemu, Gamirror Games",영어,"독일어, 러시아어, 스페인어-스페인, 영어, 우크라이나어, 이탈리아어, 일본어, 중국어 간체, 중국어 번체, 포르투갈어-브라질, 프랑스어, 한국어",12,"독일어, 러시아어, 스페인어-스페인, 영어, 우크라이나어, 이탈리아어, 일본어, 중국어 간체, 중국어 번체, 포르투갈어-브라질, 프랑스어, 한국어",2025년 6월 9일,"Action, Action RPG, Action Roguelike, Action-Adventure, Adventure, Arcade, Beat 'em up, Co-op, Dwarf, Fantasy, Fighting, Hack and Slash, Hand-drawn, Indie, Local Co-Op, Old School, RPG, Retro, Roguelite, Side Scroller",20
https://store.steampowered.com/app/3668560/?snr=1_5_9__205,HappyCreator,2025년 6월 11일,9,HappyCreator,지원 안함,"영어, 일본어, 중국어 간체, 중국어 번체",4,"영어, 일본어, 중국어 간체, 중국어 번체",2025년 6월 9일,"2D, Action RPG, Adventure, Anime, CRPG, Choose Your Own Adventure, Dating Sim, Drama, Early Access, Exploration, Hentai, JRPG, Mature, NSFW, Nudity, RPG, Romance, Sexual Content, Singleplayer, Story Rich",20
https://store.steampowered.com/app/2235200/?snr=1_5_9__205,Veewo Games,2025년 6월 11일,10,"Veewo Games, Kepler Ghost",지원 안함,"독일어, 러시아어, 영어, 이탈리아어, 일본어, 중국어 간체, 중국어 번체, 포트투갈어-포르투갈, 폴란드어, 프랑스어, 한국어",11,"독일어, 러시아어, 영어, 이탈리아어, 일본어, 중국어 간체, 중국어 번체, 폴란드어, 프랑스어, 한국어",2025년 6월 8일,"2D Platformer, Action, Action Roguelike, Bullet Hell, Co-op, Cyberpunk, Early Access, Funny, Loot, Multiplayer, Mythology, Online Co-Op, Pixel Graphics, Platformer, Procedural Generation, RPG, Roguelike, Roguelite, Shooter, Singleplayer",20
https://store.steampowered.com/app/3310090/?snr=1_5_9__205,"ButterySoft, LLC",2025년 6월 12일,1,"ButterySoft, LLC",지원 안함,영어,1,지원 안함,2025년 5월 29일,"3D, Anime, Character Customization, Collectathon, Creature Collector, Cute, Fantasy, Multiplayer, Party-Based RPG, Pool, RPG, Sports, Strategy, Strategy RPG, Stylized, Tabletop, Tactical, Tactical RPG, Turn-Based Strategy, Turn-Based Tactics",20
https://store.steampowered.com/app/2814860/?snr=1_5_9__205 Demo,NEXON,2025년 6월 12일,2,NEXON,"영어, 한국어","영어, 중국어 간체, 중국어 번체, 한국어",4,"영어, 중국어 간체, 중국어 번체, 한국어",2025년 6월 8일,"3D, Action, Action RPG, Action-Adventure, Adventure, Atmospheric, Character Customization, Combat, Fantasy, Hack and Slash, Medieval, Multiplayer, Online Co-Op, Open World, RPG, Sexual Content, Singleplayer, Souls-like, Story Rich, Third Person",20
https://store.steampowered.com/app/2373990/?snr=1_5_9__205,Netmarble Neo,2025년 6월 12일,3,Netmarble,"일본어, 한국어","독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포트투갈어-포르투갈, 프랑스어, 한국어",13,"독일어, 러시아어, 스페인어-스페인, 영어, 이탈리아어, 인도네시아어, 일본어, 중국어 간체, 중국어 번체, 태국어, 포르투갈어-포르투갈, 프랑스어, 한국어",2025년 6월 9일,"3D, Action, Action RPG, Anime, Cartoony, Combat, Controller, Fantasy, Free to play, Hack and Slash, MMORPG, Modern, Multiplayer, PvE, PvP, RPG, Sexual Content, Singleplayer, Souls-like, Third Person",20
https://store.steampowered.com/app/3105890/?snr=1_5_9__205,GFAGAMES,2025년 6월 12일,4,GFAGAMES,"러시아어, 스페인어-중남미, 영어, 중국어 간체","독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",7,"독일어, 러시아어, 스페인어-중남미, 영어, 우크라이나어, 중국어 간체, 프랑스어",2025년 6월 9일,"3D, Action, Action-Adventure, Atmospheric, Cinematic, Crafting, Dark, Dystopian, FPS, First-Person, Looter Shooter, MMORPG, Military, Open World, Post-apocalyptic, RPG, Realistic, Sci-fi, Story Rich, Survival",20
